	index	score	token	sentence	model	dimension	pos_tag	rsv	word
3	3	0.01936393603682518	3988	1	5	argentinos	AQ	7	buenos
4	4	0.01821048930287361	1537	1	5	argentinos	NC	6	mujeres
5	5	0.014698272570967674	2274	1	5	argentinos	AQ	5	amigos
6	6	0.014492453075945377	9876	1	5	argentinos	AQ	4	felices
7	7	0.011307386681437492	2634	1	5	argentinos	AQ	3	importantes
8	8	0.01128353737294674	20766	1	5	argentinos	AQ	2	geniales
9	9	0.009561831131577492	1292	1	5	argentinos	PI	1	muchos
0	0	0.07941727340221405	34851	2	5	argentinos	AQ	10	afortunados
1	1	0.04768798500299454	2274	2	5	argentinos	NC	9	amigos
2	2	0.04743054136633873	3497	2	5	argentinos	PI	8	pocos
3	3	0.02590160444378853	3988	2	5	argentinos	AQ	7	buenos
4	4	0.022756122052669525	18618	2	5	argentinos	AQ	6	locos
5	5	0.022196732461452484	37637	2	5	argentinos	NC	5	privilegiados
6	6	0.02075771614909172	8450	2	5	argentinos	PI	4	cuantos
7	7	0.0188862606883049	42100	2	5	argentinos	AQ	3	guapos
8	8	0.013608544133603573	22664	2	5	argentinos	NC	2	jovenes
9	9	0.011888966895639896	35316	2	5	argentinos	AQ	1	apasionados
0	0	0.04184183478355408	7743	3	5	argentinos	AQ	10	extranjeros
1	1	0.02677619457244873	10091	3	5	argentinos	NC	9	inmigrantes
2	2	0.01741330325603485	9058	3	5	argentinos	AQ	8	mexicanos
3	3	0.016122205182909966	12008	3	5	argentinos	AQ	7	venezolanos
4	4	0.015445439144968987	7777	3	5	argentinos	AQ	6	pobres
5	5	0.014136340469121933	17178	3	5	argentinos	AQ	5	musulmanes
6	6	0.013765824027359486	3144	3	5	argentinos	AQ	4	humanos
7	7	0.012435329146683216	22524	3	5	argentinos	AQ	3	inocentes
8	8	0.011495888233184814	12002	3	5	argentinos	AQ	2	cubanos
9	9	0.010813680477440357	20803	3	5	argentinos	AQ	1	asesinados
0	0	0.027758650481700897	3831	4	5	argentinos	NC	10	ciudadanos
1	1	0.01955774985253811	9540	4	5	argentinos	AQ	9	independientes
2	2	0.01947767473757267	7743	4	5	argentinos	AQ	8	extranjeros
3	3	0.016457846388220787	33511	4	5	argentinos	AQ	7	bienvenidos
4	4	0.014332670718431473	9058	4	5	argentinos	AQ	6	mexicanos
5	5	0.011147921904921532	3144	4	5	argentinos	AQ	5	humanos
6	6	0.010860112495720387	23651	4	5	argentinos	AQ	4	corruptos
7	7	0.01056679617613554	12008	4	5	argentinos	AQ	3	venezolanos
8	8	0.009932240471243858	11617	4	5	argentinos	AQ	2	argentinos
9	9	0.008681215345859528	3497	4	5	argentinos	PI	1	pocos
0	0	0.037160973995923996	8992	5	5	argentinos	AQ	10	excelentes
1	1	0.03677331656217575	7743	5	5	argentinos	AQ	9	extranjeros
2	2	0.035638660192489624	33511	5	5	argentinos	AQ	8	bienvenidos
3	3	0.024021638557314873	8359	5	5	argentinos	NC	7	turistas
4	4	0.021892819553613663	3497	5	5	argentinos	PI	6	pocos
5	5	0.02162942662835121	1292	5	5	argentinos	PI	5	muchos
6	6	0.016908250749111176	2634	5	5	argentinos	AQ	4	importantes
7	7	0.015284467488527298	13918	5	5	argentinos	AQ	3	escasos
8	8	0.015269082970917225	23136	5	5	argentinos	AQ	2	curiosos
9	9	0.012479648925364017	7268	5	5	argentinos	AQ	1	numerosos
0	0	0.023807484656572342	7743	6	5	argentinos	AQ	10	extranjeros
1	1	0.02352437563240528	9058	6	5	argentinos	AQ	9	mexicanos
2	2	0.02164180390536785	11617	6	5	argentinos	NC	8	argentinos
3	3	0.01992056518793106	3988	6	5	argentinos	AQ	7	buenos
4	4	0.01948961801826954	33511	6	5	argentinos	AQ	6	bienvenidos
5	5	0.015002181753516197	9199	6	5	argentinos	AQ	5	iguales
6	6	0.014825887978076935	12002	6	5	argentinos	AQ	4	cubanos
7	7	0.013899554498493671	2634	6	5	argentinos	AQ	3	importantes
8	8	0.012488282285630703	9540	6	5	argentinos	AQ	2	independientes
9	9	0.011684523895382881	5357	6	5	argentinos	AQ	1	necesarios
0	0	0.04366646707057953	5149	7	5	argentinos	AQ	10	pequeños
1	1	0.037508394569158554	4090	7	5	argentinos	AQ	9	jóvenes
2	2	0.03538616746664047	2634	7	5	argentinos	AQ	8	importantes
3	3	0.034134622663259506	11953	7	5	argentinos	AQ	7	destacados
4	4	0.03158276528120041	42100	7	5	argentinos	AQ	6	guapos
5	5	0.023349404335021973	26429	7	5	argentinos	AQ	5	influyentes
6	6	0.02315850928425789	10674	7	5	argentinos	AQ	4	famosos
7	7	0.022750426083803177	34851	7	5	argentinos	AQ	3	afortunados
8	8	0.01741896942257881	12577	7	5	argentinos	AQ	2	queridos
9	9	0.016569940373301506	11535	7	5	argentinos	AQ	1	cercanos
0	0	0.11087949573993683	15367	8	5	argentinos	AQ	10	vulnerables
1	1	0.062390539795160294	7777	8	5	argentinos	AQ	9	pobres
2	2	0.034963563084602356	5149	8	5	argentinos	AQ	8	pequeños
3	3	0.03321446105837822	8084	8	5	argentinos	AQ	7	afectados
4	4	0.032492052763700485	15898	8	5	argentinos	AQ	6	poderosos
5	5	0.02945827692747116	2634	8	5	argentinos	AQ	5	importantes
6	6	0.026744212955236435	45736	8	5	argentinos	VMP	4	desfavorecidos
7	7	0.02600993402302265	18533	8	5	argentinos	AQ	3	caros
8	8	0.024186281487345695	8187	8	5	argentinos	AQ	2	ricos
9	9	0.018070794641971588	11535	8	5	argentinos	AQ	1	cercanos
0	0	0.05429369583725929	2634	9	5	argentinos	AQ	10	importantes
1	1	0.047455716878175735	15367	9	5	argentinos	AQ	9	vulnerables
2	2	0.03719644993543625	15898	9	5	argentinos	AQ	8	poderosos
3	3	0.03219032287597656	7777	9	5	argentinos	AQ	7	pobres
4	4	0.02985650673508644	11953	9	5	argentinos	AQ	6	destacados
5	5	0.023015545681118965	45736	9	5	argentinos	VMP	5	desfavorecidos
6	6	0.020808424800634384	11535	9	5	argentinos	AQ	4	cercanos
7	7	0.02064867876470089	5149	9	5	argentinos	AQ	3	pequeños
8	8	0.018426137045025826	5655	9	5	argentinos	AQ	2	fuertes
9	9	0.018071897327899933	8084	9	5	argentinos	AQ	1	afectados
0	0	0.07514071464538574	2634	10	5	argentinos	AQ	10	importantes
1	1	0.059295404702425	11953	10	5	argentinos	AQ	9	destacados
2	2	0.04329638555645943	18533	10	5	argentinos	AQ	8	caros
3	3	0.023961737751960754	10674	10	5	argentinos	AQ	7	famosos
4	4	0.02264680713415146	11535	10	5	argentinos	AQ	6	cercanos
5	5	0.021697210147976875	10727	10	5	argentinos	AQ	5	baratos
6	6	0.020871853455901146	43175	10	5	argentinos	AQ	4	buscados
7	7	0.02085617370903492	7423	10	5	argentinos	AQ	3	conocidos
8	8	0.020775003358721733	35795	10	5	argentinos	AQ	2	visitados
9	9	0.019416246563196182	5149	10	5	argentinos	AQ	1	pequeños
0	0	0.2196463793516159	3988	11	5	argentinos	AQ	10	buenos
1	1	0.04285357892513275	2634	11	5	argentinos	AQ	9	importantes
2	2	0.036295872181653976	3497	11	5	argentinos	PI	8	pocos
3	3	0.029016710817813873	22606	11	5	argentinos	AQ	7	amables
4	4	0.025817399844527245	5655	11	5	argentinos	AQ	6	fuertes
5	5	0.021427394822239876	8700	11	5	argentinos	AQ	5	malos
6	6	0.01687462441623211	34960	11	5	argentinos	AQ	4	optimistas
7	7	0.016023632138967514	6702	11	5	argentinos	AQ	3	interesantes
8	8	0.014803417958319187	8187	11	5	argentinos	AQ	2	ricos
9	9	0.013498219661414623	18533	11	5	argentinos	AQ	1	caros
0	0	0.27795007824897766	3497	12	5	argentinos	PI	10	pocos
1	1	0.040373075753450394	8450	12	5	argentinos	PI	9	cuantos
2	2	0.03686222434043884	37637	12	5	argentinos	AQ	8	privilegiados
3	3	0.02842898853123188	3988	12	5	argentinos	AQ	7	buenos
4	4	0.018438858911395073	34851	12	5	argentinos	AQ	6	afortunados
5	5	0.0165320485830307	18618	12	5	argentinos	AQ	5	locos
6	6	0.01204793993383646	46359	12	5	argentinos	NC	4	idiotas
7	7	0.008793109096586704	3144	12	5	argentinos	AQ	3	humanos
8	8	0.00877019576728344	8700	12	5	argentinos	AQ	2	malos
9	9	0.007921066135168076	2274	12	5	argentinos	NC	1	amigos
0	0	0.02378900535404682	9058	0	5	mexicanos	AQ	10	mexicanos
1	1	0.02279168739914894	3988	0	5	mexicanos	AQ	9	buenos
2	2	0.017780527472496033	3497	0	5	mexicanos	PI	8	pocos
3	3	0.015524093993008137	7743	0	5	mexicanos	AQ	7	extranjeros
4	4	0.015080326236784458	7777	0	5	mexicanos	AQ	6	pobres
5	5	0.013297025114297867	2634	0	5	mexicanos	AQ	5	importantes
6	6	0.012358992360532284	33511	0	5	mexicanos	AQ	4	bienvenidos
7	7	0.012196648865938187	1292	0	5	mexicanos	PI	3	muchos
8	8	0.011709330603480339	12002	0	5	mexicanos	AQ	2	cubanos
9	9	0.011307457461953163	8700	0	5	mexicanos	AQ	1	malos
0	0	0.04517551138997078	33511	1	5	mexicanos	AQ	10	bienvenidos
1	1	0.02379029616713524	22664	1	5	mexicanos	NC	9	jovenes
2	2	0.020873621106147766	9876	1	5	mexicanos	AQ	8	felices
3	3	0.02082172967493534	8992	1	5	mexicanos	AQ	7	excelentes
4	4	0.02073908969759941	3988	1	5	mexicanos	AQ	6	buenos
5	5	0.020359499379992485	1537	1	5	mexicanos	NC	5	mujeres
6	6	0.015999307855963707	2274	1	5	mexicanos	AQ	4	amigos
7	7	0.013045744970440865	20766	1	5	mexicanos	AQ	3	geniales
8	8	0.010870439000427723	2634	1	5	mexicanos	AQ	2	importantes
9	9	0.010645393282175064	1292	1	5	mexicanos	PI	1	muchos
0	0	0.06954029202461243	34851	2	5	mexicanos	AQ	10	afortunados
1	1	0.05418464168906212	2274	2	5	mexicanos	NC	9	amigos
2	2	0.04350491985678673	3497	2	5	mexicanos	PI	8	pocos
3	3	0.027107788249850273	3988	2	5	mexicanos	AQ	7	buenos
4	4	0.025215601548552513	18618	2	5	mexicanos	AQ	6	locos
5	5	0.022081539034843445	42100	2	5	mexicanos	AQ	5	guapos
6	6	0.020028386265039444	8450	2	5	mexicanos	PI	4	cuantos
7	7	0.018829036504030228	37637	2	5	mexicanos	NC	3	privilegiados
8	8	0.015327210538089275	9876	2	5	mexicanos	AQ	2	felices
9	9	0.013063954189419746	22664	2	5	mexicanos	NC	1	jovenes
0	0	0.04097512736916542	7743	3	5	mexicanos	AQ	10	extranjeros
1	1	0.02936856634914875	10091	3	5	mexicanos	NC	9	inmigrantes
2	2	0.017976613715291023	9058	3	5	mexicanos	AQ	8	mexicanos
3	3	0.015635833144187927	12008	3	5	mexicanos	AQ	7	venezolanos
4	4	0.015562254935503006	7777	3	5	mexicanos	AQ	6	pobres
5	5	0.013277935795485973	17178	3	5	mexicanos	AQ	5	musulmanes
6	6	0.013199418783187866	22524	3	5	mexicanos	AQ	4	inocentes
7	7	0.01223092433065176	3144	3	5	mexicanos	AQ	3	humanos
8	8	0.011789204552769661	32034	3	5	mexicanos	AQ	2	desplazados
9	9	0.010132426396012306	20803	3	5	mexicanos	AQ	1	asesinados
0	0	0.03014649823307991	3831	4	5	mexicanos	NC	10	ciudadanos
1	1	0.020680829882621765	7743	4	5	mexicanos	AQ	9	extranjeros
2	2	0.018731316551566124	9058	4	5	mexicanos	AQ	8	mexicanos
3	3	0.018619485199451447	33511	4	5	mexicanos	AQ	7	bienvenidos
4	4	0.017212852835655212	9540	4	5	mexicanos	AQ	6	independientes
5	5	0.012330424040555954	12008	4	5	mexicanos	AQ	5	venezolanos
6	6	0.011874518357217312	23651	4	5	mexicanos	AQ	4	corruptos
7	7	0.011033636517822742	3144	4	5	mexicanos	AQ	3	humanos
8	8	0.010771241039037704	7777	4	5	mexicanos	AQ	2	pobres
9	9	0.009236003272235394	316	4	5	mexicanos	DA	1	los
0	0	0.03974444046616554	33511	5	5	mexicanos	AQ	10	bienvenidos
1	1	0.039210330694913864	7743	5	5	mexicanos	AQ	9	extranjeros
2	2	0.0340556725859642	8992	5	5	mexicanos	AQ	8	excelentes
3	3	0.028235245496034622	8359	5	5	mexicanos	NC	7	turistas
4	4	0.02108033187687397	1292	5	5	mexicanos	PI	6	muchos
5	5	0.02100077085196972	3497	5	5	mexicanos	PI	5	pocos
6	6	0.016492830589413643	2634	5	5	mexicanos	AQ	4	importantes
7	7	0.014871282503008842	13918	5	5	mexicanos	AQ	3	escasos
8	8	0.012077624909579754	23136	5	5	mexicanos	AQ	2	curiosos
9	9	0.011001922190189362	15110	5	5	mexicanos	AQ	1	impresionantes
0	0	0.030297545716166496	9058	6	5	mexicanos	AQ	10	mexicanos
1	1	0.026056963950395584	7743	6	5	mexicanos	AQ	9	extranjeros
2	2	0.025820355862379074	33511	6	5	mexicanos	AQ	8	bienvenidos
3	3	0.016618048772215843	3988	6	5	mexicanos	AQ	7	buenos
4	4	0.015072044916450977	12002	6	5	mexicanos	AQ	6	cubanos
5	5	0.01424709428101778	3497	6	5	mexicanos	PI	5	pocos
6	6	0.013596189208328724	9199	6	5	mexicanos	AQ	4	iguales
7	7	0.012851601466536522	3144	6	5	mexicanos	AQ	3	humanos
8	8	0.01262633129954338	12008	6	5	mexicanos	AQ	2	venezolanos
9	9	0.011536074802279472	2634	6	5	mexicanos	AQ	1	importantes
0	0	0.05189692974090576	5149	7	5	mexicanos	AQ	10	pequeños
1	1	0.039469506591558456	42100	7	5	mexicanos	AQ	9	guapos
2	2	0.03623826056718826	4090	7	5	mexicanos	AQ	8	jóvenes
3	3	0.033716943114995956	2634	7	5	mexicanos	AQ	7	importantes
4	4	0.026099173352122307	11953	7	5	mexicanos	AQ	6	destacados
5	5	0.0246769730001688	12577	7	5	mexicanos	AQ	5	queridos
6	6	0.021634787321090698	9876	7	5	mexicanos	AQ	4	felices
7	7	0.02162579447031021	26429	7	5	mexicanos	AQ	3	influyentes
8	8	0.0216057151556015	10674	7	5	mexicanos	AQ	2	famosos
9	9	0.01955045387148857	34851	7	5	mexicanos	AQ	1	afortunados
0	0	0.13530054688453674	15367	8	5	mexicanos	AQ	10	vulnerables
1	1	0.05490115284919739	7777	8	5	mexicanos	AQ	9	pobres
2	2	0.037195976823568344	5149	8	5	mexicanos	AQ	8	pequeños
3	3	0.0352487713098526	8084	8	5	mexicanos	AQ	7	afectados
4	4	0.02980918623507023	15898	8	5	mexicanos	AQ	6	poderosos
5	5	0.027755871415138245	2634	8	5	mexicanos	AQ	5	importantes
6	6	0.027506854385137558	45736	8	5	mexicanos	VMP	4	desfavorecidos
7	7	0.027142532169818878	18533	8	5	mexicanos	AQ	3	caros
8	8	0.021197186782956123	8187	8	5	mexicanos	AQ	2	ricos
9	9	0.020352618768811226	28610	8	5	mexicanos	AQ	1	necesitados
0	0	0.07374677062034607	15367	9	5	mexicanos	AQ	10	vulnerables
1	1	0.05313052237033844	2634	9	5	mexicanos	AQ	9	importantes
2	2	0.03654728829860687	7777	9	5	mexicanos	AQ	8	pobres
3	3	0.03648652136325836	15898	9	5	mexicanos	AQ	7	poderosos
4	4	0.028754910454154015	45736	9	5	mexicanos	AQ	6	desfavorecidos
5	5	0.023995010182261467	5149	9	5	mexicanos	AQ	5	pequeños
6	6	0.021909508854150772	11953	9	5	mexicanos	AQ	4	destacados
7	7	0.01908154971897602	28610	9	5	mexicanos	AQ	3	necesitados
8	8	0.018900906667113304	8084	9	5	mexicanos	AQ	2	afectados
9	9	0.017906080931425095	8187	9	5	mexicanos	AQ	1	ricos
0	0	0.07217606902122498	2634	10	5	mexicanos	AQ	10	importantes
1	1	0.05268612131476402	11953	10	5	mexicanos	AQ	9	destacados
2	2	0.040464598685503006	18533	10	5	mexicanos	AQ	8	caros
3	3	0.02395935170352459	43175	10	5	mexicanos	AQ	7	buscados
4	4	0.023338070139288902	10674	10	5	mexicanos	AQ	6	famosos
5	5	0.021876823157072067	11535	10	5	mexicanos	AQ	5	cercanos
6	6	0.02174299769103527	5149	10	5	mexicanos	AQ	4	pequeños
7	7	0.020640213042497635	12608	10	5	mexicanos	AQ	3	atractivos
8	8	0.019793998450040817	10727	10	5	mexicanos	AQ	2	baratos
9	9	0.01967584155499935	7423	10	5	mexicanos	AQ	1	conocidos
0	0	0.19074593484401703	3988	11	5	mexicanos	AQ	10	buenos
1	1	0.044047094881534576	3497	11	5	mexicanos	PI	9	pocos
2	2	0.04188861697912216	2634	11	5	mexicanos	AQ	8	importantes
3	3	0.03071632795035839	22606	11	5	mexicanos	AQ	7	amables
4	4	0.023200254887342453	9876	11	5	mexicanos	AQ	6	felices
5	5	0.022823235020041466	8700	11	5	mexicanos	AQ	5	malos
6	6	0.01860477402806282	5655	11	5	mexicanos	AQ	4	fuertes
7	7	0.018320491537451744	8187	11	5	mexicanos	AQ	3	ricos
8	8	0.01764194667339325	18533	11	5	mexicanos	AQ	2	caros
9	9	0.016957424581050873	6702	11	5	mexicanos	AQ	1	interesantes
0	0	0.31267279386520386	3497	12	5	mexicanos	PI	10	pocos
1	1	0.04456256330013275	8450	12	5	mexicanos	PI	9	cuantos
2	2	0.03357589244842529	37637	12	5	mexicanos	NC	8	privilegiados
3	3	0.028827616944909096	3988	12	5	mexicanos	AQ	7	buenos
4	4	0.018499111756682396	18618	12	5	mexicanos	AQ	6	locos
5	5	0.017026422545313835	34851	12	5	mexicanos	AQ	5	afortunados
6	6	0.011112785898149014	46359	12	5	mexicanos	NC	4	idiotas
7	7	0.009247849695384502	8700	12	5	mexicanos	AQ	3	malos
8	8	0.00878886692225933	3144	12	5	mexicanos	AQ	2	humanos
9	9	0.008679666556417942	2274	12	5	mexicanos	NC	1	amigos
0	0	0.025132833048701286	3988	0	5	peruanos	AQ	10	buenos
1	1	0.02205747179687023	3497	0	5	peruanos	PI	9	pocos
2	2	0.02039286307990551	33511	0	5	peruanos	AQ	8	bienvenidos
3	3	0.01928381808102131	7743	0	5	peruanos	AQ	7	extranjeros
4	4	0.01457267627120018	2634	0	5	peruanos	AQ	6	importantes
5	5	0.013799067586660385	7777	0	5	peruanos	AQ	5	pobres
6	6	0.013592233881354332	8992	0	5	peruanos	AQ	4	excelentes
7	7	0.012047944590449333	9540	0	5	peruanos	AQ	3	independientes
8	8	0.012003950774669647	9058	0	5	peruanos	AQ	2	mexicanos
9	9	0.011551950126886368	1292	0	5	peruanos	PI	1	muchos
0	0	0.056645747274160385	33511	1	5	peruanos	AQ	10	bienvenidos
1	1	0.031665876507759094	22664	1	5	peruanos	NC	9	jovenes
2	2	0.02603025548160076	8992	1	5	peruanos	AQ	8	excelentes
3	3	0.02200397476553917	3988	1	5	peruanos	AQ	7	buenos
4	4	0.014733417890965939	2274	1	5	peruanos	NC	6	amigos
5	5	0.014685272239148617	1537	1	5	peruanos	NC	5	mujeres
6	6	0.01451216358691454	9876	1	5	peruanos	AQ	4	felices
7	7	0.013140237890183926	20766	1	5	peruanos	AQ	3	geniales
8	8	0.009718655608594418	2634	1	5	peruanos	AQ	2	importantes
9	9	0.009524118155241013	18914	1	5	peruanos	AQ	1	solteros
0	0	0.07662748545408249	34851	2	5	peruanos	AQ	10	afortunados
1	1	0.054165102541446686	2274	2	5	peruanos	NC	9	amigos
2	2	0.043102797120809555	3497	2	5	peruanos	PI	8	pocos
3	3	0.028684217482805252	3988	2	5	peruanos	AQ	7	buenos
4	4	0.025211844593286514	42100	2	5	peruanos	AQ	6	guapos
5	5	0.02056153677403927	18618	2	5	peruanos	AQ	5	locos
6	6	0.019147666171193123	37637	2	5	peruanos	AQ	4	privilegiados
7	7	0.0164388008415699	22664	2	5	peruanos	NC	3	jovenes
8	8	0.0155097134411335	8450	2	5	peruanos	PI	2	cuantos
9	9	0.014004657045006752	35316	2	5	peruanos	AQ	1	apasionados
0	0	0.04674673452973366	7743	3	5	peruanos	AQ	10	extranjeros
1	1	0.03365843743085861	10091	3	5	peruanos	NC	9	inmigrantes
2	2	0.020855693146586418	17178	3	5	peruanos	AQ	8	musulmanes
3	3	0.017328571528196335	7777	3	5	peruanos	AQ	7	pobres
4	4	0.014789154753088951	32034	3	5	peruanos	AQ	6	desplazados
5	5	0.013314777985215187	12008	3	5	peruanos	AQ	5	venezolanos
6	6	0.012151012197136879	9058	3	5	peruanos	AQ	4	mexicanos
7	7	0.012087604962289333	22524	3	5	peruanos	AQ	3	inocentes
8	8	0.011658241972327232	20803	3	5	peruanos	VMP	2	asesinados
9	9	0.01114184781908989	3144	3	5	peruanos	AQ	1	humanos
0	0	0.02649548463523388	3831	4	5	peruanos	NC	10	ciudadanos
1	1	0.026193298399448395	33511	4	5	peruanos	AQ	9	bienvenidos
2	2	0.02181118354201317	9540	4	5	peruanos	AQ	8	independientes
3	3	0.02158241905272007	7743	4	5	peruanos	AQ	7	extranjeros
4	4	0.01013167668133974	3497	4	5	peruanos	PI	6	pocos
5	5	0.009409131482243538	7777	4	5	peruanos	AQ	5	pobres
6	6	0.009290417656302452	9058	4	5	peruanos	AQ	4	mexicanos
7	7	0.009204959496855736	3144	4	5	peruanos	AQ	3	humanos
8	8	0.008483420126140118	316	4	5	peruanos	DA	2	los
9	9	0.00821708980947733	12008	4	5	peruanos	AQ	1	venezolanos
0	0	0.05400728061795235	33511	5	5	peruanos	AQ	10	bienvenidos
1	1	0.0362405888736248	7743	5	5	peruanos	AQ	9	extranjeros
2	2	0.03595242649316788	8992	5	5	peruanos	AQ	8	excelentes
3	3	0.03089769370853901	8359	5	5	peruanos	NC	7	turistas
4	4	0.02531999535858631	3497	5	5	peruanos	PI	6	pocos
5	5	0.020917771384119987	1292	5	5	peruanos	PI	5	muchos
6	6	0.018029170110821724	23136	5	5	peruanos	AQ	4	curiosos
7	7	0.01689811609685421	13918	5	5	peruanos	AQ	3	escasos
8	8	0.013541550375521183	2634	5	5	peruanos	AQ	2	importantes
9	9	0.012987421825528145	15110	5	5	peruanos	AQ	1	impresionantes
0	0	0.04111285135149956	33511	6	5	peruanos	AQ	10	bienvenidos
1	1	0.03156891465187073	7743	6	5	peruanos	AQ	9	extranjeros
2	2	0.018411684781312943	3988	6	5	peruanos	AQ	8	buenos
3	3	0.014237288385629654	8992	6	5	peruanos	AQ	7	excelentes
4	4	0.014114078134298325	3497	6	5	peruanos	PI	6	pocos
5	5	0.01400760654360056	9058	6	5	peruanos	AQ	5	mexicanos
6	6	0.012732292525470257	12002	6	5	peruanos	AQ	4	cubanos
7	7	0.012675351463258266	9540	6	5	peruanos	AQ	3	independientes
8	8	0.011767026968300343	2634	6	5	peruanos	AQ	2	importantes
9	9	0.011218949221074581	20922	6	5	peruanos	AQ	1	peruanos
0	0	0.046885717660188675	5149	7	5	peruanos	AQ	10	pequeños
1	1	0.036125827580690384	42100	7	5	peruanos	AQ	9	guapos
2	2	0.03529978170990944	11953	7	5	peruanos	AQ	8	destacados
3	3	0.03478032723069191	4090	7	5	peruanos	AQ	7	jóvenes
4	4	0.03265141323208809	2634	7	5	peruanos	AQ	6	importantes
5	5	0.02390168234705925	12577	7	5	peruanos	AQ	5	queridos
6	6	0.022292399778962135	26429	7	5	peruanos	AQ	4	influyentes
7	7	0.021661559119820595	10674	7	5	peruanos	AQ	3	famosos
8	8	0.019821126013994217	34851	7	5	peruanos	AQ	2	afortunados
9	9	0.016595939174294472	11535	7	5	peruanos	AQ	1	cercanos
0	0	0.1450309008359909	15367	8	5	peruanos	AQ	10	vulnerables
1	1	0.06369870901107788	7777	8	5	peruanos	AQ	9	pobres
2	2	0.03607241436839104	5149	8	5	peruanos	AQ	8	pequeños
3	3	0.03424876183271408	8084	8	5	peruanos	AQ	7	afectados
4	4	0.03419380262494087	45736	8	5	peruanos	AQ	6	desfavorecidos
5	5	0.025728287175297737	15898	8	5	peruanos	AQ	5	poderosos
6	6	0.025677520781755447	2634	8	5	peruanos	AQ	4	importantes
7	7	0.024949390441179276	8187	8	5	peruanos	AQ	3	ricos
8	8	0.021442467346787453	28610	8	5	peruanos	AQ	2	necesitados
9	9	0.02082604356110096	18533	8	5	peruanos	AQ	1	caros
0	0	0.07006768882274628	15367	9	5	peruanos	AQ	10	vulnerables
1	1	0.04955274611711502	2634	9	5	peruanos	AQ	9	importantes
2	2	0.032835304737091064	11953	9	5	peruanos	AQ	8	destacados
3	3	0.03242739289999008	7777	9	5	peruanos	AQ	7	pobres
4	4	0.030930278822779655	45736	9	5	peruanos	AQ	6	desfavorecidos
5	5	0.027872862294316292	15898	9	5	peruanos	AQ	5	poderosos
6	6	0.02258257567882538	5149	9	5	peruanos	AQ	4	pequeños
7	7	0.019837938249111176	11535	9	5	peruanos	AQ	3	cercanos
8	8	0.018841277807950974	8084	9	5	peruanos	AQ	2	afectados
9	9	0.018641280010342598	26429	9	5	peruanos	AQ	1	influyentes
0	0	0.06927318125963211	11953	10	5	peruanos	AQ	10	destacados
1	1	0.06872216612100601	2634	10	5	peruanos	AQ	9	importantes
2	2	0.032785337418317795	18533	10	5	peruanos	AQ	8	caros
3	3	0.029272476211190224	35795	10	5	peruanos	AQ	7	visitados
4	4	0.025690274313092232	10674	10	5	peruanos	AQ	6	famosos
5	5	0.024266161024570465	11535	10	5	peruanos	AQ	5	cercanos
6	6	0.023512572050094604	7423	10	5	peruanos	AQ	4	conocidos
7	7	0.02163660153746605	43175	10	5	peruanos	AQ	3	buscados
8	8	0.021039582788944244	6270	10	5	peruanos	AQ	2	populares
9	9	0.020561356097459793	5149	10	5	peruanos	AQ	1	pequeños
0	0	0.19015561044216156	3988	11	5	peruanos	AQ	10	buenos
1	1	0.06085759773850441	22606	11	5	peruanos	AQ	9	amables
2	2	0.03837841376662254	3497	11	5	peruanos	PI	8	pocos
3	3	0.03209326043725014	2634	11	5	peruanos	AQ	7	importantes
4	4	0.021001538261771202	6702	11	5	peruanos	AQ	6	interesantes
5	5	0.01788865402340889	8187	11	5	peruanos	AQ	5	ricos
6	6	0.015438788570463657	5655	11	5	peruanos	AQ	4	fuertes
7	7	0.014516545459628105	18533	11	5	peruanos	AQ	3	caros
8	8	0.012769140303134918	8700	11	5	peruanos	AQ	2	malos
9	9	0.011997372843325138	42100	11	5	peruanos	AQ	1	guapos
0	0	0.31731751561164856	3497	12	5	peruanos	PI	10	pocos
1	1	0.03901882842183113	37637	12	5	peruanos	NC	9	privilegiados
2	2	0.03811205178499222	8450	12	5	peruanos	PI	8	cuantos
3	3	0.03152328357100487	3988	12	5	peruanos	AQ	7	buenos
4	4	0.018740301951766014	34851	12	5	peruanos	AQ	6	afortunados
5	5	0.015121950767934322	18618	12	5	peruanos	AQ	5	locos
6	6	0.010630220174789429	8992	12	5	peruanos	AQ	4	excelentes
7	7	0.009219836443662643	46359	12	5	peruanos	NC	3	idiotas
8	8	0.008411834016442299	2274	12	5	peruanos	NC	2	amigos
9	9	0.006790460553020239	3144	12	5	peruanos	AQ	1	humanos
0	0	0.020085884258151054	33511	0	5	marroquíes	AQ	10	bienvenidos
1	1	0.014204283244907856	7964	0	5	marroquíes	AQ	9	españoles
2	2	0.012767815962433815	17178	0	5	marroquíes	AQ	8	musulmanes
3	3	0.012216642498970032	7743	0	5	marroquíes	AQ	7	extranjeros
4	4	0.010768047533929348	3144	0	5	marroquíes	AQ	6	humanos
5	5	0.009895197115838528	9616	0	5	marroquíes	AQ	5	cristianos
6	6	0.009693004190921783	18441	0	5	marroquíes	AQ	4	judíos
7	7	0.009598889388144016	10674	0	5	marroquíes	AQ	3	famosos
8	8	0.008645127527415752	20803	0	5	marroquíes	VMP	2	asesinados
9	9	0.007957606576383114	1292	0	5	marroquíes	PI	1	muchos
0	0	0.07542445510625839	33511	1	5	marroquíes	AQ	10	bienvenidos
1	1	0.019785117357969284	8992	1	5	marroquíes	AQ	9	excelentes
